Subject,technique,density,trial_time,aligned(trial_time) for density,ART-C(trial_time) for density
16,Two,high,6.1125486,0.5322332334490740635416666666,183
16,Two,low,5.2806885999999995,-1.1530285212384264166666666667,124
16,Two,medium,5.5958494000000005,-0.4619984316550920927083333333,147
17,Cone,high,16.0496704,9.097441702199074051041666666,283
17,Cone,low,7.309021799999999,-0.5183240420717604000000000001,144
17,Cone,medium,6.128766000000001,-1.6551057122106472260416666667,97
17,Gravity,high,5.1873542,-4.2590166644675924072916666667,16
17,Gravity,low,2.4896605999999997,-5.7768468379050928083333333334,2
17,Gravity,medium,4.210376,-4.2623635288773146343750000000,15
17,Three,high,3.5836182,-3.9485735603009260114583333337,25
17,Three,low,3.3391599999999997,-3.6443762879050927791666666667,31
17,Three,medium,4.2177736,-2.9788740163773148510416666667,46
17,Two,high,2.8540389999999998,-2.7262763665509261364583333334,61
17,Two,low,3.5378952,-2.8958219212384259166666666667,48
17,Two,medium,2.7931138,-3.2647340316550925927083333333,39
18,Cone,high,5.0676284,-1.8846002978009259489583333337,93
18,Cone,low,3.5277680000000005,-4.2995778420717589000000000001,13
18,Cone,medium,7.9690692,0.1851974877893517739583333333,174
18,Gravity,high,9.040693999999998,-0.4056768644675944072916666667,149
18,Gravity,low,11.5860548,3.3195473620949074916666666666,247
18,Gravity,medium,9.7621638,1.2894242711226853656250000000,211
18,Three,high,13.4973458,5.9651540396990739885416666663,271
18,Three,low,5.7339508,-1.2495854879050924791666666667,122
18,Three,medium,8.6629876,1.4663399836226851489583333333,215
18,Two,high,7.7733282,2.1930128334490740635416666666,231
18,Two,low,8.2718756,1.8381584787615740833333333333,225
18,Two,medium,6.5232792,0.4654313683449074072916666667,181
19,Cone,high,8.4336095,1.4813808021990740510416666663,216
19,Cone,low,5.710937400000001,-2.1164084420717584000000000001,81
19,Cone,medium,17.605075,9.821203287789351773958333333,285
19,Gravity,high,16.3527048,6.9063339355324075927083333333,276
19,Gravity,low,5.5324952,-2.7340122379050925083333333334,58
19,Gravity,medium,9.6618952,1.1891556711226853656250000000,205
19,Three,high,8.3454554,0.8132636396990739885416666663,194
19,Three,low,6.651812799999999,-0.3317234879050934791666666667,151
19,Three,medium,11.7410216,4.5443739836226851489583333333,261
19,Two,high,7.558220399999999,1.9779050334490730635416666666,227
19,Two,low,6.5406434,0.1069262787615740833333333333,170
19,Two,medium,3.659857,-2.3979908316550925927083333333,71
2,Cone,high,12.1406278,5.1883991021990740510416666663,266
2,Cone,low,4.9925353999999995,-2.8348104420717599000000000001,53
2,Cone,medium,5.9874968,-1.7963749122106482260416666667,94
2,Gravity,high,10.4527936,1.0064227355324075927083333333,200
2,Gravity,low,10.3416068,2.0750993620949074916666666666,229
2,Gravity,medium,4.3858016,-4.0869379288773146343750000000,20
2,Three,high,3.8988892,-3.6333025603009260114583333337,32
2,Three,low,7.3051024,0.3215661120949075208333333333,177
2,Three,medium,6.768664200000001,-0.4279834163773138510416666667,148
2,Two,high,5.6093291999999995,0.0290138334490735635416666666,169
2,Two,low,5.1013246,-1.3323925212384259166666666667,121
2,Two,medium,8.2474588,2.1896109683449074072916666667,230
20,Cone,high,6.3347316,-0.6174970978009259489583333337,142
20,Cone,low,6.7745818,-1.0527640420717594000000000001,127
20,Cone,medium,9.840227200000001,2.0563554877893527739583333333,228
20,Gravity,high,6.8877675,-2.5586033644675924072916666667,66
20,Gravity,low,6.863720600000001,-1.4027868379050915083333333334,113
20,Gravity,medium,12.697172,4.2244324711226853656250000000,256
20,Three,high,8.3737288,0.8415370396990739885416666663,197
20,Three,low,5.9916744,-0.9918618879050924791666666667,129
20,Three,medium,5.2811378,-1.9155098163773148510416666667,90
