Subject,density,technique,trial_time,aligned(trial_time) for technique,ART-C(trial_time) for technique
16,high,Two,3.4225342,-2.2313487469560184048611111111,44
16,low,Two,3.1637086,-1.2184076011226852465277777778,93
16,medium,Two,4.1538696,-0.5413110761226851590277777778,135
17,high,Cone,6.3571776,1.1624743297569444743055555555,209
17,low,Cone,6.5714722,1.8185692135069445159722222222,236
17,medium,Cone,4.3579956,-0.4255779674652778006944444445,139
17,high,Gravity,5.0544792,-1.6231127511226851368055555552,74
17,low,Gravity,2.3642578,-1.5046738365393518076388888889,79
17,medium,Gravity,3.9565794,-0.2280768365393518659722222222,149
17,high,Three,2.4590332,-3.1731413962615740618055555556,8
17,low,Three,2.2006106,-1.8565305420949074659722222222,60
17,medium,Three,2.3096436,-2.7322204858449072826388888889,22
17,high,Two,1.60597,-4.0479129469560184048611111111,1
17,low,Two,1.4415042,-2.9406120011226852465277777778,15
17,medium,Two,1.8693832000000001,-2.8257974761226850590277777778,18
18,high,Cone,3.4974016,-1.6973016702430555256944444445,72
18,low,Cone,2.5030546,-2.2498483864930554840277777778,43
18,medium,Cone,2.4531158,-2.3304577674652778006944444445,40
18,high,Gravity,7.8767144,1.1991224488773148631944444448,210
18,low,Gravity,5.9699852,2.1010535634606481923611111111,246
18,medium,Gravity,7.4233428,3.2386865634606481340277777778,268
18,high,Three,5.312481,-0.3196935962615740618055555556,144
18,low,Three,3.7888396,-0.2683015420949074659722222222,148
18,medium,Three,3.668988,-1.3728760858449072826388888889,87
18,high,Two,5.1953856,-0.4584973469560184048611111111,136
18,low,Two,5.278796,0.8966797988773147534722222222,200
18,medium,Two,5.4135254,0.7183447238773148409722222222,194
19,high,Cone,3.4333618,-1.7613414702430555256944444445,65
19,low,Cone,4.1627692,-0.5901337864930554840277777778,128
19,medium,Cone,5.035461333333333,0.2518877658680551993055555555,170
19,high,Gravity,8.172007400000002,1.4944154488773168631944444448,218
19,low,Gravity,5.563414799999999,1.6944831634606471923611111111,230
