Subject,technique,density,trial_time,aligned(trial_time) for density,ART-C(trial_time) for density
14,Three,high,7.1179694,2.7818393559953703454861111111,263
14,Three,low,5.459082,1.1736702105787036600694444445,222
14,Three,medium,3.843286,-1.0158030832407406305555555556,99
14,Two,high,6.4384092,2.1138949372453704871527777778,246
14,Two,low,5.074010400000001,0.4969476834953713642361111111,191
14,Two,medium,6.3113168,1.8322352584259259777777777777,236
15,Cone,high,5.0757576,1.6071499101620369954861111111,231
15,Cone,low,1.6649170000000002,-2.8862056056712960440972222222,7
15,Cone,medium,3.3582030000000005,-0.8125445367129625347222222223,108
15,Gravity,high,5.3210232,-2.1912979023379629086805555552,38
15,Gravity,low,4.0820252,-2.1459507873379628607638888889,41
15,Gravity,medium,4.535819999999999,-1.5968349374074083930555555556,68
15,Three,high,4.6705078,0.3343777559953703454861111111,186
15,Three,low,2.5284362,-1.7569755894212963399305555555,58
15,Three,medium,6.6999886,1.8408995167592593694444444444,237
15,Two,high,2.5119292,-1.8125850627546295128472222222,55
15,Two,low,2.488141,-2.0889217165046296357638888889,44
15,Two,medium,2.5658232,-1.9132583415740740222222222223,50
16,Cone,high,3.525271,0.0566633101620369954861111111,174
16,Cone,low,2.1495667999999997,-2.4015558056712965440972222222,26
16,Cone,medium,3.5808746,-0.5898729367129630347222222223,124
16,Gravity,high,8.244587,0.7322658976620370913194444448,204
16,Gravity,low,5.5995484,-0.6284275873379628607638888889,120
16,Gravity,medium,6.9276946,0.7950396625925926069444444444,206
16,Three,high,3.7795312,-0.5565988440046296545138888889,127
16,Three,low,3.8853332000000003,-0.4000785894212960399305555555,140
16,Three,medium,4.4259506,-0.4331384832407406305555555556,136
16,Two,high,3.4225342,-0.9019800627546295128472222222,102
16,Two,low,3.1637086,-1.4133541165046296357638888889,74
16,Two,medium,4.1538696,-0.3252119415740740222222222223,148
17,Cone,high,6.3571776,2.8885699101620369954861111111,265
17,Cone,low,6.5714722,2.0203495943287037559027777778,244
17,Cone,medium,4.3579956,0.1872480632870369652777777777,182
17,Gravity,high,5.0544792,-2.4578419023379629086805555552,22
17,Gravity,low,2.3642578,-3.8637181873379628607638888889,1
17,Gravity,medium,3.9565794,-2.1760755374074073930555555556,39
17,Three,high,2.4590332,-1.8770968440046296545138888889,53
17,Three,low,2.2006106,-2.0848011894212963399305555555,45
17,Three,medium,2.3096436,-2.5494454832407406305555555556,16
17,Two,high,1.60597,-2.7185442627546295128472222222,10
17,Two,low,1.4415042,-3.1355585165046296357638888889,4
17,Two,medium,1.8693832000000001,-2.6096983415740739222222222223,15
18,Cone,high,3.4974016,0.0287939101620369954861111111,168
18,Cone,low,2.5030546,-2.0480680056712962440972222222,47
18,Cone,medium,2.4531158,-1.7176317367129630347222222223,62
18,Gravity,high,7.8767144,0.3643932976620370913194444448,188
18,Gravity,low,5.9699852,-0.2579907873379628607638888889,151
18,Gravity,medium,7.4233428,1.2906878625925926069444444444,225
18,Three,high,5.312481,0.9763509559953703454861111111,216
18,Three,low,3.7888396,-0.4965721894212963399305555555,130
18,Three,medium,3.668988,-1.1901010832407406305555555556,85
18,Two,high,5.1953856,0.8708713372453704871527777778,209
18,Two,low,5.278796,0.7017332834953703642361111111,203
18,Two,medium,5.4135254,0.9344438584259259777777777777,214
19,Cone,high,3.4333618,-0.0352458898379630045138888889,164
19,Cone,low,4.1627692,-0.3883534056712962440972222222,142
19,Cone,medium,5.035461333333333,0.8647137966203699652777777777,208
19,Gravity,high,8.172007400000002,0.6596862976620390913194444448,202
19,Gravity,low,5.563414799999999,-0.6645611873379638607638888889,119
19,Gravity,medium,8.4729948,2.3403398625925926069444444444,253
19,Three,high,9.505706,5.1695759559953703454861111111,284
19,Three,low,6.143592,1.8581802105787036600694444445,240
19,Three,medium,5.4733612,0.6142721167592593694444444444,199
19,Two,high,5.7332824,1.4087681372453704871527777778,226
19,Two,low,4.2139892,-0.3630735165046296357638888889,146
19,Two,medium,2.9336302,-1.5454513415740740222222222223,70
2,Cone,high,4.6448304,1.1762227101620369954861111111,223
2,Cone,low,3.4670196000000004,-1.0841030056712958440972222222,95
2,Cone,medium,1.8131132,-2.3576343367129630347222222223,30
2,Gravity,high,7.3457178,-0.1666033023379629086805555552,158
2,Gravity,low,5.499777,-0.7281989873379628607638888889,113
2,Gravity,medium,3.4169069999999997,-2.7157479374074076930555555556,11
2,Three,high,3.4714846,-0.8646454440046296545138888889,105
2,Three,low,4.2104248,-0.0749869894212963399305555555,162
2,Three,medium,3.4985962,-1.3604928832407406305555555556,76
2,Two,high,4.8656416,0.5411273372453704871527777778,197
2,Two,low,4.2774018,-0.2996609165046296357638888889,150
2,Two,medium,7.088582,2.6095004584259259777777777777,258
20,Cone,high,6.1208866,2.6522789101620369954861111111,259
20,Cone,low,3.0462678,-1.5048548056712962440972222222,71
20,Cone,medium,4.1934874,0.0227398632870369652777777777,167
20,Gravity,high,17.9876298,10.475308697662037091319444445,288
20,Gravity,low,6.432354800000001,0.2043788126620381392361111111,183
20,Gravity,medium,8.7015805,2.5689255625925926069444444444,257
20,Three,high,6.3633364,2.0272063559953703454861111111,245
20,Three,low,4.229184200000001,-0.0562275894212953399305555555,163
20,Three,medium,4.0158448,-0.8432442832407406305555555556,107
20,Two,high,4.175293,-0.1492212627546295128472222222,161
20,Two,low,5.487914999999999,0.9108522834953693642361111111,213
20,Two,medium,5.070812999999999,0.5917314584259249777777777777,198
21,Cone,high,4.0961,0.6274923101620369954861111111,200
21,Cone,low,6.7462526,2.1951299943287037559027777778,248
21,Cone,medium,3.8204223999999996,-0.3503251367129634347222222223,147
21,Gravity,high,7.5650858,0.0527646976620370913194444448,173
21,Gravity,low,3.4248846,-2.8030913873379628607638888889,8
21,Gravity,medium,3.8955874,-2.2370675374074073930555555556,35
21,Three,high,5.2308592,0.8947291559953703454861111111,211
21,Three,low,3.3977418,-0.8876699894212963399305555555,103
21,Three,medium,5.9970942,1.1380051167592593694444444444,218
21,Two,high,3.729268,-0.5952462627546295128472222222,122
21,Two,low,1.6748359999999998,-2.9022267165046298357638888889,6
21,Two,medium,3.253562,-1.2255195415740740222222222223,83
22,Cone,high,2.3809082,-1.0876994898379630045138888889,94
22,Cone,low,1.5592217400000001,-2.9919008656712961440972222222,5
22,Cone,medium,4.218850600000001,0.0481030632870379652777777777,171
22,Gravity,high,9.358960249999999,1.8466391476620360913194444448,238
22,Gravity,low,5.4381926,-0.7897833873379628607638888889,111
22,Gravity,medium,4.6300294,-1.5026255374074073930555555556,73
22,Three,high,2.3028199999999996,-2.0333100440046300545138888889,48
22,Three,low,1.795813,-2.4895987894212963399305555555,21
22,Three,medium,2.418451,-2.4406380832407406305555555556,24
22,Two,high,2.6710816,-1.6534326627546295128472222222,65
22,Two,low,2.2003114,-2.3767513165046296357638888889,27
22,Two,medium,2.1954957999999998,-2.2835857415740742222222222223,33
23,Cone,high,3.7117676000000004,0.2431599101620373954861111111,185
23,Cone,low,3.689575,-0.8615476056712962440972222222,106
23,Cone,medium,5.329418800000001,1.1586712632870379652777777777,221
23,Gravity,high,7.348112,-0.1642091023379629086805555552,159
23,Gravity,low,4.4331308,-1.7948451873379628607638888889,56
23,Gravity,medium,5.042868,-1.0897869374074073930555555556,93
23,Three,high,7.7063484,3.3702183559953703454861111111,272
23,Three,low,3.8866820000000004,-0.3987297894212959399305555555,141
23,Three,medium,4.1362428,-0.7228462832407406305555555556,114
23,Two,high,6.739459399999999,2.4149451372453694871527777778,254
23,Two,low,5.718354,1.1412912834953703642361111111,219
23,Two,medium,3.3642944,-1.1147871415740740222222222223,91
24,Cone,high,2.4865234,-0.9820842898379630045138888889,101
24,Cone,low,3.8454588000000003,-0.7056638056712959440972222222,115
24,Cone,medium,3.7173339999999997,-0.4534135367129633347222222223,135
24,Gravity,high,16.3862552,8.873934097662037091319444445,287
24,Gravity,low,7.448510799999999,1.2205348126620361392361111111,224
24,Gravity,medium,8.6455564,2.5129014625925926069444444444,255
24,Three,high,7.6917116,3.3555815559953703454861111111,271
24,Three,low,5.1049324,0.8195206105787036600694444445,207
24,Three,medium,7.549140799999999,2.6900517167592583694444444444,261
24,Two,high,5.29906,0.9745457372453704871527777778,215
24,Two,low,4.0968746000000005,-0.4801881165046291357638888889,132
24,Two,medium,6.470764,1.9916824584259259777777777777,243
25,Cone,high,6.7305662,3.2619585101620369954861111111,269
25,Cone,low,2.420044,-2.1310786056712962440972222222,43
25,Cone,medium,3.0381226,-1.1326249367129630347222222223,89
25,Gravity,high,4.2382691999999995,-3.2740519023379634086805555552,3
