Subject,techniquedensity,trial_time,aligned(trial_time) for techniquedensity,ART-C(trial_time) for techniquedensity
17,Threehigh,3.5836182,-3.7941584722800925760416666667,29
17,Threelow,3.3391599999999997,-4.0386166722800928760416666667,18
17,Threemedium,4.2177736,-3.1600030722800925760416666667,49
17,Twohigh,2.8540389999999998,-4.5237376722800927760416666667,8
17,Twolow,3.5378952,-3.8398814722800925760416666667,26
17,Twomedium,2.7931138,-4.5846628722800925760416666667,6
18,Conehigh,5.0676284,-2.3101482722800925760416666667,76
18,Conelow,3.5277680000000005,-3.8500086722800920760416666667,25
18,Conemedium,7.9690692,0.5912925277199074239583333333,192
18,Gravityhigh,9.040693999999998,1.6629173277199054239583333333,219
18,Gravitylow,11.5860548,4.2082781277199074239583333333,254
18,Gravitymedium,9.7621638,2.3843871277199074239583333333,231
18,Threehigh,13.4973458,6.1195691277199074239583333333,270
18,Threelow,5.7339508,-1.6438258722800925760416666667,108
18,Threemedium,8.6629876,1.2852109277199074239583333333,210
18,Twohigh,7.7733282,0.3955515277199074239583333333,188
18,Twolow,8.2718756,0.8940989277199074239583333333,201
18,Twomedium,6.5232792,-0.8544974722800925760416666667,136
19,Conehigh,8.4336095,1.0558328277199074239583333333,205
19,Conelow,5.710937400000001,-1.6668392722800915760416666667,107
19,Conemedium,17.605075,10.227298327719907423958333333,284
19,Gravityhigh,16.3527048,8.974928127719907423958333333,280
19,Gravitylow,5.5324952,-1.8452814722800925760416666667,92
19,Gravitymedium,9.6618952,2.2841185277199074239583333333,229
19,Threehigh,8.3454554,0.9676787277199074239583333333,202
19,Threelow,6.651812799999999,-0.7259638722800935760416666667,139
19,Threemedium,11.7410216,4.3632449277199074239583333333,256
19,Twohigh,7.558220399999999,0.1804437277199064239583333333,180
19,Twolow,6.5406434,-0.8371332722800925760416666667,137
19,Twomedium,3.659857,-3.7179196722800925760416666667,31
2,Conehigh,12.1406278,4.7628511277199074239583333333,261
2,Conelow,4.9925353999999995,-2.3852412722800930760416666667,73
2,Conemedium,5.9874968,-1.3902798722800925760416666667,114
2,Gravityhigh,10.4527936,3.0750169277199074239583333333,243
2,Gravitylow,10.3416068,2.9638301277199074239583333333,241
2,Gravitymedium,4.3858016,-2.9919750722800925760416666667,57
