Subject,techniquedensity,trial_time,aligned(trial_time) for techniquedensity,ART-C(trial_time) for techniquedensity
18,Threemedium,3.668988,-1.2414052747337962701388888889,93
18,Twohigh,5.1953856,0.2849923252662037298611111111,176
18,Twolow,5.278796,0.3684027252662037298611111111,179
18,Twomedium,5.4135254,0.5031321252662037298611111111,188
19,Conehigh,3.4333618,-1.4770314747337962701388888889,80
19,Conelow,4.1627692,-0.7476240747337962701388888889,129
19,Conemedium,5.035461333333333,0.1250680585995367298611111111,167
19,Gravityhigh,8.172007400000002,3.2616141252662057298611111111,264
19,Gravitylow,5.563414799999999,0.6530215252662027298611111111,197
19,Gravitymedium,8.4729948,3.5626015252662037298611111111,269
19,Threehigh,9.505706,4.5953127252662037298611111111,279
19,Threelow,6.143592,1.2331987252662037298611111111,215
19,Threemedium,5.4733612,0.5629679252662037298611111111,191
19,Twohigh,5.7332824,0.8228891252662037298611111111,204
19,Twolow,4.2139892,-0.6964040747337962701388888889,136
19,Twomedium,2.9336302,-1.9767630747337962701388888889,58
2,Conehigh,4.6448304,-0.2655628747337962701388888889,154
2,Conelow,3.4670196000000004,-1.4433736747337958701388888889,83
2,Conemedium,1.8131132,-3.0972800747337962701388888889,11
2,Gravityhigh,7.3457178,2.4353245252662037298611111111,248
2,Gravitylow,5.499777,0.5893837252662037298611111111,195
2,Gravitymedium,3.4169069999999997,-1.4934862747337965701388888889,76
2,Threehigh,3.4714846,-1.4389086747337962701388888889,84
2,Threelow,4.2104248,-0.6999684747337962701388888889,135
2,Threemedium,3.4985962,-1.4117970747337962701388888889,88
2,Twohigh,4.8656416,-0.0447516747337962701388888889,159
2,Twolow,4.2774018,-0.6329914747337962701388888889,140
2,Twomedium,7.088582,2.1781887252662037298611111111,243
20,Conehigh,6.1208866,1.2104933252662037298611111111,214
20,Conelow,3.0462678,-1.8641254747337962701388888889,61
20,Conemedium,4.1934874,-0.7169058747337962701388888889,133
20,Gravityhigh,17.9876298,13.077236525266203729861111111,288
20,Gravitylow,6.432354800000001,1.5219615252662047298611111111,225
20,Gravitymedium,8.7015805,3.7911872252662037298611111111,271
20,Threehigh,6.3633364,1.4529431252662037298611111111,222
20,Threelow,4.229184200000001,-0.6812090747337952701388888889,138
20,Threemedium,4.0158448,-0.8945484747337962701388888889,118
20,Twohigh,4.175293,-0.7351002747337962701388888889,132
20,Twolow,5.487914999999999,0.5775217252662027298611111111,193
20,Twomedium,5.070812999999999,0.1604197252662027298611111111,170
21,Conehigh,4.0961,-0.8142932747337962701388888889,124
21,Conelow,6.7462526,1.8358593252662037298611111111,236
21,Conemedium,3.8204223999999996,-1.0899708747337966701388888889,105
21,Gravityhigh,7.5650858,2.6546925252662037298611111111,254
21,Gravitylow,3.4248846,-1.4855086747337962701388888889,79
21,Gravitymedium,3.8955874,-1.0148058747337962701388888889,110
21,Threehigh,5.2308592,0.3204659252662037298611111111,177
21,Threelow,3.3977418,-1.5126514747337962701388888889,74
21,Threemedium,5.9970942,1.0867009252662037298611111111,209
21,Twohigh,3.729268,-1.1811252747337962701388888889,100
21,Twolow,1.6748359999999998,-3.2355572747337964701388888889,7
21,Twomedium,3.253562,-1.6568312747337962701388888889,69
22,Conehigh,2.3809082,-2.5294850747337962701388888889,31
22,Conelow,1.5592217400000001,-3.3511715347337961701388888889,2
22,Conemedium,4.218850600000001,-0.6915426747337952701388888889,137
22,Gravityhigh,9.358960249999999,4.4485669752662027298611111111,276
22,Gravitylow,5.4381926,0.5277993252662037298611111111,189
22,Gravitymedium,4.6300294,-0.2803638747337962701388888889,153
22,Threehigh,2.3028199999999996,-2.6075732747337966701388888889,25
22,Threelow,1.795813,-3.1145802747337962701388888889,8
22,Threemedium,2.418451,-2.4919422747337962701388888889,32
22,Twohigh,2.6710816,-2.2393116747337962701388888889,50
22,Twolow,2.2003114,-2.7100818747337962701388888889,23
22,Twomedium,2.1954957999999998,-2.7148974747337964701388888889,22
23,Conehigh,3.7117676000000004,-1.1986256747337958701388888889,98
23,Conelow,3.689575,-1.2208182747337962701388888889,95
23,Conemedium,5.329418800000001,0.4190255252662047298611111111,185
23,Gravityhigh,7.348112,2.4377187252662037298611111111,249
23,Gravitylow,4.4331308,-0.4772624747337962701388888889,148
23,Gravitymedium,5.042868,0.1324747252662037298611111111,168
23,Threehigh,7.7063484,2.7959551252662037298611111111,257
23,Threelow,3.8866820000000004,-1.0237112747337958701388888889,109
23,Threemedium,4.1362428,-0.7741504747337962701388888889,126
23,Twohigh,6.739459399999999,1.8290661252662027298611111111,235
23,Twolow,5.718354,0.8079607252662037298611111111,203
23,Twomedium,3.3642944,-1.5460988747337962701388888889,73
24,Conehigh,2.4865234,-2.4238698747337962701388888889,38
24,Conelow,3.8454588000000003,-1.0649344747337959701388888889,107
24,Conemedium,3.7173339999999997,-1.1930592747337965701388888889,99
24,Gravityhigh,16.3862552,11.475861925266203729861111111,287
24,Gravitylow,7.448510799999999,2.5381175252662027298611111111,252
24,Gravitymedium,8.6455564,3.7351631252662037298611111111,270
24,Threehigh,7.6917116,2.7813183252662037298611111111,255
24,Threelow,5.1049324,0.1945391252662037298611111111,174
24,Threemedium,7.549140799999999,2.6387475252662027298611111111,253
24,Twohigh,5.29906,0.3886667252662037298611111111,181
24,Twolow,4.0968746000000005,-0.8135186747337957701388888889,125
24,Twomedium,6.470764,1.5603707252662037298611111111,227
