Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
13,Three,medium,4.399208,-0.6426560858449072826388888889,-0.4598810832407406305555555556,0.1397389943518518680555555556,125,134,170
13,Two,high,6.185217199999999,0.5313342530439805951388888889,1.8607029372453694871527777778,0.8458027766435175975694444444,182,241,212
13,Two,low,6.3532592,1.9711429988773147534722222222,1.7761964834953703642361111111,2.5381599762268518788194444444,239,234,260
13,Two,medium,4.9938720000000005,0.2986913238773153409722222222,0.5147904584259264777777777777,0.7677271262962968527777777778,173,194,208
14,Cone,high,3.082352,-2.1123512702430555256944444445,-0.3862556898379630045138888889,-1.8603355271527777732638888889,49,143,47
14,Cone,low,2.0075868,-2.7453161864930554840277777778,-2.5435358056712962440972222222,-1.4107855275694444920138888889,21,17,71
14,Cone,medium,3.6984336,-1.0851399674652778006944444445,-0.4723139367129630347222222223,-0.1309843775000000180555555555,101,133,152
14,Gravity,high,6.3815108,-0.2960811511226851368055555552,-1.1308103023379629086805555552,-1.1220014587731480663194444445,145,90,92
14,Gravity,low,6.3124876,2.4435559634606481923611111111,0.0845116126620371392361111111,0.3332905408101852149305555555,252,177,181
14,Gravity,medium,6.6325372,2.4478809634606481340277777778,0.4998822625925926069444444444,0.2422944908796296888888888889,253,192,176
14,Three,high,7.1179694,1.4857948037384259381944444444,2.7818393559953703454861111111,1.7452308446990741128472222222,217,263,240
14,Three,low,5.459082,1.4019408579050925340277777778,1.1736702105787036600694444445,1.6106586442824073940972222222,215,222,235
14,Three,medium,3.843286,-1.1985780858449072826388888889,-1.0158030832407406305555555556,-0.4161830056481481319444444444,97,99,132
14,Two,high,6.4384092,0.7845262530439815951388888889,2.1138949372453704871527777778,1.0989947766435185975694444444,197,246,217
14,Two,low,5.074010400000001,0.6918941988773157534722222222,0.4969476834953713642361111111,1.2589111762268528788194444444,191,191,225
14,Two,medium,6.3113168,1.6161361238773148409722222222,1.8322352584259259777777777777,2.0851719262962963527777777778,224,236,248
15,Cone,high,5.0757576,-0.1189456702430555256944444445,1.6071499101620369954861111111,0.1330700728472222267361111111,156,231,169
15,Cone,low,1.6649170000000002,-3.0879859864930552840277777778,-2.8862056056712960440972222222,-1.7534553275694442920138888889,10,7,53
