Subject,density,technique,trial_time,aligned(trial_time) for technique,ART-C(trial_time) for technique
13,low,Three,6.624615199999999,0.4600264909143509545138888889,186
13,medium,Three,5.1345948,-1.8318621882523148663194444445,95
13,high,Two,6.141114,-2.1227923741319443732638888890,88
13,low,Two,7.6393692,0.8111012092013888850694444444,199
13,medium,Two,7.1042508,0.0630951480902777600694444444,168
14,high,Cone,6.1342014,-2.0044296611689813427083333337,89
14,low,Cone,8.642773199999999,1.9180651325810174447916666666,223
14,medium,Cone,14.532138800000002,7.2621479117476871697916666666,277
14,high,Gravity,8.1080994,-1.3172833014467591427083333337,119
14,low,Gravity,5.6719512000000005,-0.2845279368634255052083333337,156
14,medium,Gravity,6.9638808,0.2124126214699074197916666663,174
14,high,Three,10.4496468,1.4473624804976851836805555552,212
14,low,Three,5.5502678,-0.6143209090856480454861111111,141
14,medium,Three,4.68107575,-2.2853812382523148663194444445,76
14,high,Two,6.7296576,-1.5342487741319443732638888890,111
14,low,Two,6.3897645999999995,-0.4385033907986116149305555556,146
14,medium,Two,5.9805418,-1.0606138519097222399305555556,128
15,high,Cone,5.062207,-3.0764240611689813427083333337,45
15,low,Cone,3.5530518,-3.1716562674189815552083333334,38
15,medium,Cone,5.6113644,-1.6586264882523148302083333334,104
15,high,Gravity,7.0303062,-2.3950765014467591427083333337,71
15,low,Gravity,4.307422,-1.6490571368634260052083333337,105
15,medium,Gravity,4.4799422,-2.2715259785300925802083333337,78
15,high,Three,12.0956794,3.0933950804976851836805555552,247
15,low,Three,6.0320862,-0.1325025090856480454861111111,162
15,medium,Three,7.0451912,0.0787342117476851336805555555,170
15,high,Two,5.5367216,-2.7271847741319443732638888890,57
15,low,Two,4.6594664,-2.1688015907986111149305555556,83
15,medium,Two,5.8393074,-1.2018482519097222399305555556,122
16,high,Cone,4.739180599999999,-3.3994504611689823427083333337,30
16,low,Cone,3.157251,-3.5674570674189815552083333334,26
16,medium,Cone,1.7764510000000002,-5.4935398882523146302083333334,1
16,high,Gravity,8.0466522,-1.3787305014467591427083333337,115
16,low,Gravity,7.53212875,1.5756496131365739947916666663,213
16,medium,Gravity,7.7962688,1.0448006214699074197916666663,204
16,high,Three,6.8050804,-2.1972039195023148163194444448,80
16,low,Three,5.8725034,-0.2920853090856480454861111111,154
16,medium,Three,4.8163728,-2.1500841882523148663194444445,86
16,high,Two,6.1125486,-2.1513577741319443732638888890,85
16,low,Two,5.2806885999999995,-1.5475793907986116149305555556,110
16,medium,Two,5.5958494000000005,-1.4453062519097217399305555556,113
17,high,Cone,16.0496704,7.9110393388310186572916666663,281
17,low,Cone,7.309021799999999,0.5843137325810174447916666666,191
17,medium,Cone,6.128766000000001,-1.1412248882523138302083333334,125
17,high,Gravity,5.1873542,-4.2380285014467591427083333337,13
17,low,Gravity,2.4896605999999997,-3.4668185368634263052083333337,29
17,medium,Gravity,4.210376,-2.5410921785300925802083333337,66
17,high,Three,3.5836182,-5.4186661195023148163194444448,3
17,low,Three,3.3391599999999997,-2.8254287090856483454861111111,52
17,medium,Three,4.2177736,-2.7486833882523148663194444445,55
17,high,Two,2.8540389999999998,-5.4098673741319445732638888890,4
17,low,Two,3.5378952,-3.2903727907986111149305555556,35
17,medium,Two,2.7931138,-4.2480418519097222399305555556,12
18,high,Cone,5.0676284,-3.0710026611689813427083333337,46
18,low,Cone,3.5277680000000005,-3.1969400674189810552083333334,37
18,medium,Cone,7.9690692,0.6990783117476851697916666666,196
18,high,Gravity,9.040693999999998,-0.3846887014467611427083333337,151
18,low,Gravity,11.5860548,5.6295756631365739947916666663,268
18,medium,Gravity,9.7621638,3.0106956214699074197916666663,244
18,high,Three,13.4973458,4.4950614804976851836805555552,261
18,low,Three,5.7339508,-0.4306379090856480454861111111,147
18,medium,Three,8.6629876,1.6965306117476851336805555555,217
18,high,Two,7.7733282,-0.4905781741319443732638888890,144
18,low,Two,8.2718756,1.4436076092013888850694444444,211
18,medium,Two,6.5232792,-0.5178764519097222399305555556,143
19,high,Cone,8.4336095,0.2949784388310186572916666663,177
19,low,Cone,5.710937400000001,-1.0137706674189805552083333334,130
19,medium,Cone,17.605075,10.335084111747685169791666666,286
19,high,Gravity,16.3527048,6.9273220985532408572916666663,276
19,low,Gravity,5.5324952,-0.4239839368634260052083333337,148
19,medium,Gravity,9.6618952,2.9104270214699074197916666663,241
19,high,Three,8.3454554,-0.6568289195023148163194444448,138
19,low,Three,6.651812799999999,0.4872240909143509545138888889,188
19,medium,Three,11.7410216,4.7745646117476851336805555555,262
19,high,Two,7.558220399999999,-0.7056859741319453732638888890,137
19,low,Two,6.5406434,-0.2876245907986111149305555556,155
19,medium,Two,3.659857,-3.3812986519097222399305555556,32
