Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
12,Gravity,low,11.0878422,5.1313630631365739947916666663,2.8213347620949074916666666666,3.3185686191550927125000000004,265,239,249
12,Gravity,medium,10.9623164,4.2108482214699074197916666663,2.4895768711226853656250000000,2.6042858684606482635416666670,258,236,241
12,Three,high,6.197186,-2.8050983195023148163194444448,-1.3350057603009260114583333337,-2.3700469966435184565972222222,53,120,63
12,Three,low,6.838742999999999,0.6741542909143509545138888889,-0.1447932879050934791666666667,0.5605501413773137819444444445,195,160,184
12,Three,medium,5.6266266,-1.3398303882523148663194444445,-1.5700210163773148510416666667,-1.2403232093171296670138888889,117,101,116
12,Two,high,8.6199554,0.3560490258680556267361111110,3.0396400334490740635416666666,1.2662208517361111753472222223,183,244,210
12,Two,low,9.0113586,2.1830906092013888850694444444,2.5776414787615740833333333333,3.9466641897569444138888888890,229,238,258
12,Two,medium,6.2346316,-0.8065240519097222399305555556,0.1767837683449074072916666667,0.5811802390624999649305555556,134,172,187
13,Cone,high,5.468872,-2.6697590611689813427083333337,-1.4833566978009259489583333337,-3.3820511924768518677083333333,59,104,36
13,Cone,low,13.437769,6.7130609325810184447916666666,5.6104231579282405999999999999,6.8758859455439813708333333334,274,269,277
13,Cone,medium,8.2140306,0.9440397117476851697916666666,0.4301588877893517739583333333,1.0633905948495369218750000000,202,179,203
13,Gravity,high,13.5845908,4.1592080985532408572916666663,4.1382199355324075927083333333,3.5262770811342594739583333337,255,255,253
13,Gravity,low,8.5093632,2.5528840631365739947916666663,0.2428557620949074916666666666,0.7400896191550927125000000004,234,175,192
13,Gravity,medium,9.1405704,2.3891022214699074197916666663,0.6678308711226853656250000000,0.7825398684606482635416666670,231,188,195
13,Three,high,10.9869686,1.9846842804976851836805555552,3.4547768396990739885416666663,2.4197356033564815434027777778,225,250,237
13,Three,low,6.624615199999999,0.4600264909143509545138888889,-0.3589210879050934791666666667,0.3464223413773137819444444445,186,150,174
13,Three,medium,5.1345948,-1.8318621882523148663194444445,-2.0620528163773148510416666667,-1.7323550093171296670138888889,95,86,91
13,Two,high,6.141114,-2.1227923741319443732638888890,0.5607986334490740635416666666,-1.2126205482638888246527777777,88,185,117
13,Two,low,7.6393692,0.8111012092013888850694444444,1.2056520787615740833333333333,2.5746747897569444138888888890,199,207,239
13,Two,medium,7.1042508,0.0630951480902777600694444444,1.0464029683449074072916666667,1.4507994390624999649305555556,168,201,216
14,Cone,high,6.1342014,-2.0044296611689813427083333337,-0.8180272978009259489583333337,-2.7167217924768518677083333333,89,133,50
14,Cone,low,8.642773199999999,1.9180651325810174447916666666,0.8154273579282395999999999999,2.0808901455439803708333333334,223,195,230
14,Cone,medium,14.532138800000002,7.2621479117476871697916666666,6.7482670877893537739583333333,7.3814987948495389218750000000,277,274,281
14,Gravity,high,8.1080994,-1.3172833014467591427083333337,-1.3382714644675924072916666667,-1.9502143188657405260416666663,119,119,80
14,Gravity,low,5.6719512000000005,-0.2845279368634255052083333337,-2.5945562379050920083333333334,-2.0973223808449067874999999996,156,65,71
14,Gravity,medium,6.9638808,0.2124126214699074197916666663,-1.5088587288773146343750000000,-1.3941497315393517364583333330,174,103,109
14,Three,high,10.4496468,1.4473624804976851836805555552,2.9174550396990739885416666663,1.8824138033564815434027777778,212,241,228
14,Three,low,5.5502678,-0.6143209090856480454861111111,-1.4332684879050924791666666667,-0.7279250586226852180555555555,141,109,137
14,Three,medium,4.68107575,-2.2853812382523148663194444445,-2.5155718663773148510416666667,-2.1858740593171296670138888889,76,67,70
14,Two,high,6.7296576,-1.5342487741319443732638888890,1.1493422334490740635416666666,-0.6240769482638888246527777777,111,203,139
14,Two,low,6.3897645999999995,-0.4385033907986116149305555556,-0.0439525212384264166666666667,1.3250701897569439138888888890,146,165,212
14,Two,medium,5.9805418,-1.0606138519097222399305555556,-0.0773060316550925927083333333,0.3270904390624999649305555556,128,162,172
15,Cone,high,5.062207,-3.0764240611689813427083333337,-1.8900216978009259489583333337,-3.7887161924768518677083333333,45,92,28
